post_id,username,post_date,caption,media_type,media_url,slide_count,like_count,comment_count,view_count,saved_count,share_count,hashtags,mentions,location,crawled_at
IG034,brandA,2025-03-12,Caption IG 34,carousel,https://instagram.com/media/34,5,710,11,7986,113,244,"#sale,#promo",@user2,Jakarta,2025-04-09 07:20:04
IG035,brandB,2025-02-25,Caption IG 35,carousel,https://instagram.com/media/35,4,859,32,2672,408,45,"#event,#newproduct",@user2,Jakarta,2025-04-09 07:20:04
IG036,brandB,2025-02-11,Caption IG 36,video,https://instagram.com/media/36,1,240,147,1806,138,121,"#newproduct,#promo",@user3,Jakarta,2025-04-09 07:20:04
IG037,brandB,2025-03-08,Caption IG 37,carousel,https://instagram.com/media/37,1,240,10,2431,432,92,"#newproduct,#promo",@user2,Jakarta,2025-04-09 07:20:04
IG038,brandC,2025-03-05,Caption IG 38,video,https://instagram.com/media/38,1,842,59,6703,69,219,"#event,#newproduct",@user2,Jakarta,2025-04-09 07:20:04
IG039,brandA,2025-03-11,Caption IG 39,image,https://instagram.com/media/39,4,502,133,8462,436,297,"#promo,#sale",@user1,Jakarta,2025-04-09 07:20:04
IG040,brandB,2025-02-10,Caption IG 40,carousel,https://instagram.com/media/40,3,713,21,5680,65,193,"#sale,#newproduct",@user1,Jakarta,2025-04-09 07:20:04
IG041,brandA,2025-03-27,Caption IG 41,image,https://instagram.com/media/41,1,525,38,2494,163,68,"#newproduct,#sale",@user2,Jakarta,2025-04-09 07:20:04
IG042,brandA,2025-02-04,Caption IG 42,carousel,https://instagram.com/media/42,5,654,78,2604,391,108,"#promo,#event",@user3,Jakarta,2025-04-09 07:20:04
IG043,brandB,2025-03-29,Caption IG 43,carousel,https://instagram.com/media/43,3,557,154,1073,332,199,"#newproduct,#event",@user2,Jakarta,2025-04-09 07:20:04
IG044,brandB,2025-02-12,Caption IG 44,image,https://instagram.com/media/44,2,804,184,507,204,281,"#promo,#sale",@user1,Jakarta,2025-04-09 07:20:04
IG045,brandB,2025-03-24,Caption IG 45,image,https://instagram.com/media/45,2,279,199,3204,53,232,"#sale,#promo",@user2,Jakarta,2025-04-09 07:20:04
IG046,brandC,2025-03-21,Caption IG 46,video,https://instagram.com/media/46,5,43,81,3830,156,52,"#sale,#promo",@user3,Jakarta,2025-04-09 07:20:04
IG047,brandC,2025-02-12,Caption IG 47,image,https://instagram.com/media/47,4,510,58,4233,344,87,"#event,#sale",@user3,Jakarta,2025-04-09 07:20:04
IG048,brandA,2025-03-15,Caption IG 48,carousel,https://instagram.com/media/48,2,500,187,7803,397,168,"#event,#newproduct",@user2,Jakarta,2025-04-09 07:20:04
IG049,brandC,2025-02-25,Caption IG 49,video,https://instagram.com/media/49,3,776,13,7915,116,4,"#event,#newproduct",@user1,Jakarta,2025-04-09 07:20:04
IG050,brandB,2025-02-08,Caption IG 50,image,https://instagram.com/media/50,1,807,130,4433,420,258,"#newproduct,#event",@user3,Jakarta,2025-04-09 07:20:04
